PCLOrigin,-112.83,7.31,1241.00
femoralCenter,-128.27,-9.12,1216.02
greaterTrochanter,-152.77,17.39,1674.23
hipCenter,-98.07,-5.52,1674.86
lateralCondyle,-148.73,-0.85,1212.01
lateralEpicondyle,-165.64,11.09,1245.20
lateralPosteriorCondyle,-144.15,35.45,1236.70
medialCondyle,-98.50,-8.04,1205.03
medialEpicondyle,-80.75,-14.49,1239.15
medialPosteriorCondyle,-88.46,24.14,1234.24
medialSulcus,-79.65,-5.71,1235.14
midfemurCenter,-135.88,-27.29,1454.99
whitesideReference,-130.19,-32.09,1225.98
