PCLOrigin,-74.15,20.90,1054.87
femoralCenter,-82.16,1.20,1036.51
greaterTrochanter,-132.45,-2.08,1445.82
hipCenter,-81.49,-4.32,1445.99
lateralCondyle,-102.90,4.73,1030.59
lateralEpicondyle,-118.86,8.29,1054.96
lateralPosteriorCondyle,-106.52,32.06,1049.00
medialCondyle,-61.16,11.80,1028.51
medialEpicondyle,-44.96,11.27,1055.79
medialPosteriorCondyle,-63.35,40.08,1049.14
medialSulcus,-46.54,18.07,1052.42
midfemurCenter,-104.64,-12.88,1248.49
whitesideReference,-81.29,-15.98,1050.16
