PCLOrigin,-101.92,-142.18,-643.01
femoralCenter,-112.69,-166.31,-666.77
greaterTrochanter,-124.28,-112.94,-216.16
hipCenter,-76.17,-124.35,-218.39
lateralCondyle,-136.61,-157.95,-671.50
lateralEpicondyle,-152.77,-153.87,-643.14
lateralPosteriorCondyle,-138.85,-127.01,-650.23
medialCondyle,-85.22,-152.09,-678.79
medialEpicondyle,-66.60,-153.18,-648.14
medialPosteriorCondyle,-87.48,-121.23,-655.35
medialSulcus,-69.01,-145.42,-653.22
midfemurCenter,-114.54,-159.68,-436.81
whitesideReference,-111.20,-186.71,-650.99
