PCLOrigin,-63.08,-129.09,-477.38
femoralCenter,-68.43,-148.93,-496.91
greaterTrochanter,-127.74,-156.84,-130.28
hipCenter,-78.55,-156.74,-126.92
lateralCondyle,-88.53,-148.49,-501.64
lateralEpicondyle,-104.69,-147.22,-477.57
lateralPosteriorCondyle,-94.69,-121.91,-480.76
medialCondyle,-49.62,-137.85,-503.88
medialEpicondyle,-32.59,-132.76,-478.05
medialPosteriorCondyle,-54.98,-109.63,-482.04
medialSulcus,-34.86,-127.28,-481.11
midfemurCenter,-75.70,-161.64,-380.91
whitesideReference,-62.83,-164.17,-487.06
