hipCenter,-96.92,-133.06,-160.77
greaterTrochanter,-152.69,-116.42,-166.26
femoralCenter,-90.72,-136.51,-604.33
whitesideReference,-90.12,-160.11,-590.34
lateralCondyle,-118.30,-131.18,-613.98
medialCondyle,-63.83,-125.80,-614.29
lateralPosteriorCondyle,-121.43,-99.04,-589.18
medialPosteriorCondyle,-64.18,-91.07,-588.62
midfemurCenter,-117.05,-151.04,-376.31
PCLOrigin,-82.96,-114.70,-581.71
lateralEpicondyle,-137.07,-126.92,-584.90
medialSulcus,-46.96,-115.41,-585.79
medialEpicondyle,-45.23,-122.59,-581.94
