PCLOrigin,-76.47,-103.89,1052.37
femoralCenter,-89.00,-125.47,1027.70
greaterTrochanter,-160.27,-106.78,1503.56
hipCenter,-92.51,-131.67,1498.15
lateralCondyle,-113.92,-116.90,1021.81
lateralEpicondyle,-130.25,-110.95,1046.53
lateralPosteriorCondyle,-114.75,-83.59,1044.10
medialCondyle,-60.63,-119.24,1018.92
medialEpicondyle,-42.44,-118.58,1047.94
medialPosteriorCondyle,-58.73,-84.37,1044.19
medialSulcus,-43.61,-112.27,1044.04
midfemurCenter,-127.02,-127.67,1272.77
whitesideReference,-91.95,-146.04,1042.18
