hipCenter,-87.53,19.34,1546.75
greaterTrochanter,-142.49,26.68,1554.10
femoralCenter,-96.46,2.93,1105.39
whitesideReference,-101.00,-18.23,1120.91
lateralCondyle,-121.41,10.56,1098.57
medialCondyle,-66.88,10.72,1097.50
lateralPosteriorCondyle,-124.32,44.51,1121.06
medialPosteriorCondyle,-67.52,42.28,1121.01
midfemurCenter,-118.85,-2.06,1332.89
PCLOrigin,-85.42,25.21,1127.98
lateralEpicondyle,-139.30,16.35,1123.78
medialSulcus,-51.34,12.14,1126.28
medialEpicondyle,-52.83,5.52,1129.59
