PCLOrigin,-72.62,-104.20,1159.64
femoralCenter,-81.97,-126.81,1136.13
greaterTrochanter,-137.41,-119.15,1543.09
hipCenter,-91.80,-138.94,1551.94
lateralCondyle,-104.15,-123.63,1130.25
lateralEpicondyle,-120.97,-119.87,1156.76
lateralPosteriorCondyle,-108.93,-92.12,1151.31
medialCondyle,-59.75,-111.73,1127.12
medialEpicondyle,-40.63,-111.04,1155.28
medialPosteriorCondyle,-63.16,-82.68,1151.15
medialSulcus,-44.37,-103.36,1151.29
midfemurCenter,-105.65,-142.31,1351.10
whitesideReference,-78.68,-144.00,1146.79
