hipCenter,74.94,-147.57,-232.61
greaterTrochanter,118.95,-117.69,-228.09
femoralCenter,62.38,-96.67,-635.01
whitesideReference,63.30,-116.25,-623.28
lateralCondyle,81.61,-93.00,-639.04
medialCondyle,38.10,-90.94,-642.99
lateralPosteriorCondyle,81.91,-60.74,-616.56
medialPosteriorCondyle,32.60,-61.90,-619.81
midfemurCenter,83.87,-126.57,-428.01
PCLOrigin,49.55,-79.99,-611.17
lateralEpicondyle,97.17,-86.09,-611.47
medialSulcus,20.88,-88.71,-617.71
medialEpicondyle,20.81,-95.13,-615.44
