PCLOrigin,-84.80,50.22,-505.98
femoralCenter,-98.64,29.97,-525.60
greaterTrochanter,-121.23,36.44,-99.10
hipCenter,-71.26,19.09,-105.99
lateralCondyle,-121.25,36.88,-527.21
lateralEpicondyle,-134.22,41.94,-504.49
lateralPosteriorCondyle,-119.34,64.06,-506.23
medialCondyle,-68.87,40.45,-536.86
medialEpicondyle,-51.38,36.38,-509.21
medialPosteriorCondyle,-66.92,68.44,-514.55
medialSulcus,-52.51,42.40,-512.41
midfemurCenter,-106.77,23.13,-309.38
whitesideReference,-98.40,11.07,-512.03
