landmark,x, y, z
PCLOrigin,-60.25,36.62,-613.63
femoralCenter,-69.74,14.40,-637.01
greaterTrochanter,-136.25,18.43,-206.22
hipCenter,-86.92,-1.97,-210.18
lateralCondyle,-91.46,23.81,-642.85
lateralEpicondyle,-112.11,29.23,-614.07
lateralPosteriorCondyle,-93.86,56.38,-620.98
medialCondyle,-45.83,25.98,-644.98
medialEpicondyle,-27.08,22.45,-612.92
medialPosteriorCondyle,-43.74,58.56,-619.65
medialSulcus,-29.28,30.98,-617.32
midfemurCenter,-83.50,-1.43,-521.02
whitesideReference,-70.14,-3.85,-624.02
