landmark,x, y, z
PCLOrigin,133.44,-165.09,1168.35
femoralCenter,151.76,-186.66,1150.11
greaterTrochanter,152.76,-130.22,1582.58
hipCenter,103.09,-147.28,1580.30
lateralCondyle,175.12,-170.95,1144.94
lateralEpicondyle,189.85,-164.72,1173.30
lateralPosteriorCondyle,166.84,-142.39,1167.27
medialCondyle,117.80,-180.09,1139.08
medialEpicondyle,102.59,-188.46,1165.69
medialPosteriorCondyle,113.35,-150.06,1160.71
medialSulcus,102.82,-182.56,1162.23
midfemurCenter,147.09,-172.52,1370.06
whitesideReference,155.12,-205.65,1163.13
