landmark,x, y, z
PCLOrigin,-104.32,31.15,1260.78
femoralCenter,-115.85,11.72,1239.99
greaterTrochanter,-132.17,14.65,1662.06
hipCenter,-87.71,-0.76,1650.17
lateralCondyle,-135.06,16.54,1236.00
lateralEpicondyle,-151.31,24.69,1263.79
lateralPosteriorCondyle,-134.54,48.41,1255.39
medialCondyle,-88.93,21.93,1230.01
medialEpicondyle,-71.17,17.94,1258.10
medialPosteriorCondyle,-89.24,51.43,1251.00
medialSulcus,-72.61,26.37,1253.94
midfemurCenter,-119.17,-3.10,1450.99
whitesideReference,-113.79,-4.58,1250.15
