landmark,x, y, z
PCLOrigin,94.03,-5.69,-559.53
femoralCenter,105.65,-26.72,-578.84
greaterTrochanter,129.99,-19.31,-142.57
hipCenter,82.67,-25.48,-145.01
lateralCondyle,127.11,-19.20,-582.58
lateralEpicondyle,140.92,-16.00,-556.04
lateralPosteriorCondyle,129.47,8.77,-564.29
medialCondyle,78.43,-16.30,-590.10
medialEpicondyle,64.51,-17.13,-559.96
medialPosteriorCondyle,79.61,14.60,-566.77
medialSulcus,65.66,-11.63,-563.67
midfemurCenter,111.14,-38.33,-355.11
whitesideReference,102.88,-44.31,-569.39
