landmark,x, y, z
PCLOrigin,-90.20,47.67,-515.55
femoralCenter,-97.28,32.42,-534.86
greaterTrochanter,-136.07,42.10,-127.35
hipCenter,-84.38,32.24,-129.54
lateralCondyle,-116.93,36.60,-539.17
lateralEpicondyle,-132.59,42.20,-513.14
lateralPosteriorCondyle,-120.08,66.37,-520.44
medialCondyle,-75.33,40.45,-543.11
medialEpicondyle,-61.02,37.53,-516.82
medialPosteriorCondyle,-74.60,66.84,-523.13
medialSulcus,-61.60,42.93,-519.48
midfemurCenter,-111.83,17.84,-325.64
whitesideReference,-95.98,18.27,-525.59
