landmark,x, y, z
PCLOrigin,-76.15,28.66,1236.64
femoralCenter,-88.39,6.14,1213.69
greaterTrochanter,-135.47,-32.80,1636.82
hipCenter,-89.21,-28.00,1635.19
lateralCondyle,-113.76,10.98,1210.00
lateralEpicondyle,-124.89,14.33,1234.88
lateralPosteriorCondyle,-111.01,40.97,1228.55
medialCondyle,-59.97,15.95,1203.00
medialEpicondyle,-44.59,16.33,1231.61
medialPosteriorCondyle,-61.44,48.20,1227.76
medialSulcus,-47.89,23.39,1227.96
midfemurCenter,-104.81,-27.87,1432.00
whitesideReference,-83.19,-14.47,1224.54
