landmark,x, y, z
PCLOrigin,-103.58,33.54,-555.63
femoralCenter,-105.55,10.34,-573.88
greaterTrochanter,-152.14,8.90,-129.18
hipCenter,-101.73,11.47,-126.07
lateralCondyle,-133.16,18.01,-579.36
lateralEpicondyle,-143.76,12.44,-556.86
lateralPosteriorCondyle,-137.70,39.87,-561.05
medialCondyle,-85.63,30.03,-585.61
medialEpicondyle,-71.07,35.26,-559.03
medialPosteriorCondyle,-94.78,57.94,-565.28
medialSulcus,-73.59,39.43,-562.67
midfemurCenter,-119.31,-0.03,-341.88
whitesideReference,-99.82,-3.33,-563.93
