landmark,x, y, z
PCLOrigin,-69.86,8.75,1079.63
femoralCenter,-80.28,-11.00,1060.25
greaterTrochanter,-111.28,-19.41,1454.74
hipCenter,-66.09,-31.78,1449.49
lateralCondyle,-100.73,-6.40,1056.26
lateralEpicondyle,-114.52,0.78,1077.95
lateralPosteriorCondyle,-98.89,22.55,1076.45
medialCondyle,-57.87,-1.10,1053.75
medialEpicondyle,-42.54,-0.46,1077.41
medialPosteriorCondyle,-58.50,26.51,1074.70
medialSulcus,-44.72,6.14,1074.64
midfemurCenter,-91.09,-27.91,1192.25
whitesideReference,-78.56,-29.37,1073.31
