landmark,x, y, z
hipCenter,-104.01,-19.03,973.28
greaterTrochanter,-161.02,-3.70,978.86
femoralCenter,-110.07,-21.95,500.64
whitesideReference,-111.93,-48.36,514.72
lateralCondyle,-132.53,-15.05,495.64
medialCondyle,-81.19,-16.61,492.42
lateralPosteriorCondyle,-135.40,20.01,519.36
medialPosteriorCondyle,-74.88,17.42,520.03
midfemurCenter,-130.66,-30.33,733.75
PCLOrigin,-99.22,-2.78,528.73
lateralEpicondyle,-154.69,-6.57,525.54
medialSulcus,-63.43,-13.47,521.88
medialEpicondyle,-63.21,-18.77,524.49
