landmark,x, y, z
PCLOrigin,-124.67,16.95,1576.21
femoralCenter,-138.09,-1.19,1555.11
greaterTrochanter,-146.61,-1.42,1971.33
hipCenter,-103.38,-16.39,1969.24
lateralCondyle,-158.67,7.12,1550.64
lateralEpicondyle,-172.84,13.85,1576.52
lateralPosteriorCondyle,-152.55,38.16,1571.97
medialCondyle,-112.23,6.26,1544.49
medialEpicondyle,-93.89,1.05,1569.30
medialPosteriorCondyle,-108.25,35.11,1565.70
medialSulcus,-94.73,7.68,1566.62
midfemurCenter,-138.25,-15.72,1768.49
whitesideReference,-138.03,-21.63,1569.42
