landmark,x, y, z
PCLOrigin,-90.05,16.10,-519.57
femoralCenter,-96.14,-7.03,-541.19
greaterTrochanter,-123.81,-0.57,-141.46
hipCenter,-74.37,-4.53,-150.09
lateralCondyle,-119.97,-7.67,-547.43
lateralEpicondyle,-138.18,-5.11,-517.93
lateralPosteriorCondyle,-128.56,23.48,-524.14
medialCondyle,-70.71,10.89,-552.75
medialEpicondyle,-53.16,16.50,-521.06
medialPosteriorCondyle,-83.63,40.22,-528.57
medialSulcus,-56.85,21.61,-524.47
midfemurCenter,-94.09,-13.13,-453.69
whitesideReference,-86.14,-26.07,-527.04
