landmark,x, y, z
PCLOrigin,141.28,-3.62,1122.88
femoralCenter,154.59,-20.51,1104.81
greaterTrochanter,122.72,20.92,1512.72
hipCenter,87.30,-6.06,1505.81
lateralCondyle,174.05,-7.81,1101.19
lateralEpicondyle,187.41,-0.33,1129.76
lateralPosteriorCondyle,167.40,19.45,1118.38
medialCondyle,127.08,-13.53,1092.93
medialEpicondyle,111.16,-22.72,1120.74
medialPosteriorCondyle,122.11,11.19,1112.57
medialSulcus,110.32,-14.25,1116.59
midfemurCenter,142.31,-16.57,1314.00
whitesideReference,156.78,-39.19,1118.21
