landmark,x, y, z
PCLOrigin,-74.58,45.50,-520.94
femoralCenter,-89.78,26.55,-540.66
greaterTrochanter,-126.32,46.86,-129.86
hipCenter,-83.03,20.74,-131.15
lateralCondyle,-108.22,41.07,-544.36
lateralEpicondyle,-121.36,51.68,-517.62
lateralPosteriorCondyle,-99.66,70.27,-524.18
medialCondyle,-63.17,35.32,-550.61
medialEpicondyle,-46.00,28.01,-523.44
medialPosteriorCondyle,-56.08,62.41,-527.56
medialSulcus,-46.34,34.02,-527.98
midfemurCenter,-107.04,19.04,-330.63
whitesideReference,-94.63,7.81,-524.90
